station_id,name,address,postal_code,city,latitude,longitude
1354810,avanti - Mitterau An der Bundesstraße 1,An der Bundesstrasse 1,3385,Mitterau,48.1976,15.48346
1354813,JET TANKSTELLE,INDUSTRIESTRASSE 19,2540,BAD VÖSLAU,47.976937,16.221098
1354817,JET TANKSTELLE,GASTEINER STRASSE 72,5500,BISCHOFSHOFEN,47.406171,13.217781
1354818,avanti - Ruprechtshofen Hauptstraße 24,Hauptstrasse 24,3244,Ruprechtshofen,48.13974,15.28193
1354821,JET TANKSTELLE,KAISER FRANZ JOSEF STRASSE 40,6845,HOHENEMS,47.35725,9.68315
1354822,OMV - Eisenstadt Mattersburger Straße 28,Mattersburger Strasse 28,7000,Eisenstadt,47.83317,16.52318
1354826,OMV - Sankt Pölten Mariazeller Straße 95,Mariazeller Strasse 95,3100,Sankt Poelten,48.18769,15.61753
1354828,JET TANKSTELLE,WEGSCHEIDGASSE 18,6370,KITZBÜHEL,47.450067,12.391094
1354832,JET TANKSTELLE,BUNDESSTRASSE 13,5600,ST JOHANN IM PONGAU,47.343479,13.191715
1354838,SCHNELL UND GUENSTIG TANKSTELLE,BUNDESSTRASSE 34,6063,RUM,47.277562,11.444639
1354846,JET TANKSTELLE,REICHSSTRASSE 133 A,6800,FELDKIRCH,47.247387,9.610381
1354847,avanti - Purgstall Erlauftalstraße 34,Erlauftalstrasse 34,3251,Purgstall,48.06215,15.13914
1354849,JET TANKSTELLE,BREITENFURTERSTRASSE 164,1230,WIEN,48.153886,16.301339
1354851,OMV - Lustenau Hagstraße 27,Hagstrasse 27,6890,Lustenau,47.44937,9.66475
1354853,OMV - Wolfurt Dornbirner Straße 22,Dornbirner Strasse 22,6922,Wolfurt,47.4541,9.75495
1354855,OMV - Frastanz Feldkircher Straße 47,Feldkircher Strasse 47,6820,Frastanz,47.22452,9.61744
1354857,OMV - Dornbirn Schwefel 53,Schwefel 53,6850,Dornbirn,47.42804,9.73995
1354859,OMV - Dornbirn Wallenmahd 1,Wallenmahd 1,6850,Dornbirn,47.39618,9.73126
1354860,JET TANKSTELLE,GUNSKIRCHNERSTRASSE 1,4600,WELS,48.148557,13.976701
1354863,OMV - Bregenz Arlbergstraße 135,Arlbergstrasse 135,6900,Bregenz,47.48778,9.73324
1354865,OMV - Thüringen Walgaustraße 68,Walgaustrasse 68,6712,Thueringen,47.1993,9.75582
1354872,avanti - Lustenau Bahnhofstraße 8,Bahnhofstrasse  8,6890,Lustenau,47.43888,9.65664
1354878,OMV - Lustenau Grindlstraße 14,Grindlstrasse 14,6890,Lustenau,47.42005,9.65871
1354881,JET TANKSTELLE,EUROPASTRASSE 8,5400,HALLEIN,47.684607,13.103615
1354882,avanti - Hard Hofsteigstraße 85,Hofsteigstrasse 85,6971,Hard,47.49046,9.70295
1354891,OMV - Wien Adalbert Stifter-Straße 67,Adalbert Stifter-Strasse 67,1200,Wien,48.24309,16.37535
1354892,JET TANKSTELLE,LAXENBURGER STRASSE 248,1230,WIEN,48.135681,16.356244
1354895,avanti - Wien Nordbahnstraße 1,Nordbahnstrasse 1,1020,Wien,48.22912,16.38852
1354901,avanti - Wien Gaussplatz 1,Gaussplatz 1,1020,Wien,48.22588,16.3708
1354902,JET TANKSTELLE,SCHWEFEL 44 A,6850,DORNBIRN,47.426673,9.741176
1354906,JET TANKSTELLE,RADLPASSSTRASSE 10,8510,STAINZ,46.888042,15.259575
1354907,OMV - Wien Wientalstraße/Auhofbrücke 40,Wientalstrasse/Auhofbruecke 40,1140,Wien,48.20186,16.23616
1354908,OMV - Wien Gunoldstraße 7 / Muthgasse 1,Gunoldstrasse 7 / Muthgasse 1 ,1190,Wien,48.24531,16.36578
1354910,OMV - Wien Hütteldorfer Straße 216b,Huetteldorfer Strasse 216b,1140,Wien,48.19788,16.27994
1354911,JET TANKSTELLE,ERNSTBRUNNER STRASSE 5,2130,MISTELBACH,48.560874,16.561675
1354914,OMV - Wien Breitenleer Straße Ost B302 112,Breitenleer Strasse Ost B302 112,1220,Wien,48.25141,16.47211
1354916,OMV - Wien Hirschstettner Straße 34,Hirschstettner Strasse 34,1220,Wien,48.24285,16.45645
1354918,OMV - Wien Brünner Straße 172,Bruenner Strasse 172,1210,Wien,48.28114,16.41181
1354920,OMV - Wien Brunner Straße 77-79,Brunner Strasse 77-79,1230,Wien,48.13342,16.29849
